Open,Close,High,Low,Volume,Date
3443.1,3420.9,3449.68,3420.9,,11/21/19
3420.9,3426,3426,3403.3,,11/22/19
3424.995,3424.995,3424.995,3424.995,,11/23/19
3424.995,3425.015,3425.015,3424.995,,11/24/19
3426,3436.25,3444.93,3418.72,,11/25/19
3436.25,3476.5,3476.85,3436.25,,11/26/19
3476.5,3505.5,3514.49,3475.5,,11/27/19
3505.5,3513,3516.93,3505.5,,11/28/19
3513,3518,3535.65,3512.61,,11/29/19
3517.595,3517.595,3517.595,3517.595,,11/30/19
3517.595,3517.595,3517.595,3517.595,,12/01/19
3518,3504,3526.475,3500.985,,12/02/19
3504,3503.5,3516.32,3499.18,,12/03/19
3503.5,3471,3503.9,3470.86,,12/04/19
3471,3458.9,3471,3453.05,,12/05/19
3458.9,3424.5,3458.9,3420.09,,12/06/19
3424.745,3424.745,3424.745,3424.745,,12/07/19
3424.745,3424.745,3424.745,3424.745,,12/08/19
3424.5,3416,3424.5,3413.56,,12/09/19
3416,3406.5,3426.155,3404.56,,12/10/19
3406.5,3375.1,3406.5,3375.1,,12/11/19
3375.1,3372,3378.22,3369.695,,12/12/19
3372,3386,3386.725,3366.895,,12/13/19
3386.315,3386.315,3386.315,3386.315,,12/14/19
3386.315,3386.315,3386.315,3386.315,,12/15/19
3386,3354,3386,3353.99,,12/16/19
3354,3342.09,3354.1,3342.09,,12/17/19
3342.09,3325.5,3342.35,3321.205,,12/18/19
3325.5,3316,3328,3314.215,,12/19/19
3316,3332.5,3334.06,3316,,12/20/19
3324.445,3324.445,3324.445,3324.445,,12/21/19
3324.445,3324.445,3324.445,3324.445,,12/22/19
3332.5,3312,3332.5,3311.04,,12/23/19
3312,3299.27,3312,3298.53,,12/24/19
3299.27,3299.27,3299.27,3299.27,,12/25/19
3299.27,3289.25,3299.27,3279.7,,12/26/19
3289.25,3303,3303,3289.25,,12/27/19
3299.395,3299.395,3299.395,3299.395,,12/28/19
3299.395,3299.395,3299.395,3299.395,,12/29/19
3303,3284.76,3303,3266.92,,12/30/19
3284.76,3287.23,3287.23,3281.5,,12/31/19
